,links,title,text
0,https://www.aljazeera.com/news/2017/04/security-council-syria-attack-170406230140973.html,Security Council weighs options over Syria attack,"Ten non-permanent Security Council countries have circulated a compromise resolution demanding a full investigation of the suspected chemical attack in Syria in a move designed to avoid a clash with Russia.



The new text - the third now before the council on investigating the apparent gas attack - was presented ahead of a closed-door meeting of the 15-member council on Syria on Thursday evening.

The US, UK and France proposed a first draft resolution on Tuesday to condemn the attack and press Syria to cooperate with international investigators.

Russia said the text was unacceptable and proposed a rival draft that does not include specific demands that the Syrian government cooperate with an investigation.

The draft by the non-permanent members is based on the first one, but drops demands that Syria hand over information on its military operations on the day of the strike, replacing them with language from a previous resolution urging cooperation on chemical weapons investigations, diplomats said.

READ MORE: Survivors and aid workers in Idlib share their stories

It remained unclear if Russia or the other four permanent council members would back the compromise presented as the United States was weighing military options in Syria.

""UN Security Council will no longer vote on the [resolution] on Syria this evening. Consultations among council members are ongoing,"" British diplomat Stephen Hickey posted on Twitter.

At least 86 people - including 27 children - died in the rebel-held town of Khan Sheikhoun in Idlib province on Tuesday, according to the UK-based Syrian Observatory for Human Rights.

Results from post-mortems performed on victims point to exposure to the deadly sarin nerve agent, according to Turkish health officials.

Britain, France and the United States are permanent council members along with Russia and China.

The 10 non-permanent members are Egypt, Japan, Senegal, Ukraine, Uruguay, Bolivia, Ethiopia, Italy, Kazakhstan and Sweden.

""There are efforts to find a way forward that might be a compromise,"" Swedish Ambassador Olof Skoog told reporters.

""We are going to try to make sure we have a good discussion before there are any votes.""



Russia has rejected the proposed Western-backed resolution as ""categorically unacceptable"".

The Russian text calls for an investigation but requests that the council approve the makeup of the team from the Organisation for the Prohibition of Chemical Weapons (OPCW) dispatched to Idlib, according to the draft seen by AFP.

In February, Syrian ally Russia, backed by China, cast its seventh veto to protect Bashar al-Assad's government from council action, blocking a bid by Western powers to impose sanctions over accusations of chemical weapons attacks. China has vetoed six resolutions on Syria.

A Security Council resolution needs nine votes in favour and no vetoes by the United States, Britain, France, Russia or China to pass.

China's UN Ambassador Liu Jieyi said on Thursday he hopes the Security Council can reach consensus on a resolution condemning the reported use of chemical weapons."
1,https://www.aljazeera.com/news/2017/04/donald-trump-hints-military-action-syria-170406194807127.html,Donald Trump hints at military action in Syria,"US President Donald Trump has hinted at possible military action against Syrian President Bashar al-Assad as his administration considers retaliatory options after a chemical weapons attack killed more than 80 people.

""I think what happened in Syria is a disgrace to humanity and he's there, and I guess he's running things, so something should happen,"" Trump told reporters on Air Force One, en route to meet China's President Xi Jinping at a Florida summit on Thursday.

While Trump stopped short of calling on Assad to leave office, the comments were his strongest suggestion yet that the United States may be edging towards a stronger stance against Assad.

His stance was underlined by Secretary of State Rex Tillerson, who told reporters: ""There's no role for [Assad] to govern the Syrian people"".

READ MORE: Autopsy 'shows chemical weapons used in Syria attack'

Tillerson, who spoke almost simultaneously after greeting Xi in West Palm Beach, said the US was evaluating an appropriate response.

""The process by which Assad would leave is something that will require an international community effort,"" Tillerson said, adding there needs to be a balance between defeating the Islamic State of Iraq and the Levant (ISIL) and stabilising Syria to prevent the war from escalating.

Tillerson also issued a warning to Russia, a key ally of Damascus, that its support of the Assad government is something it should ""consider carefully"".

The poison gas attack on the rebel-held town of Khan Sheikhoun in Idlib province killed at least 86 people, including 27 children, according to the UK-based Syrian Observatory for Human Rights.

Turkey said samples from victims of Tuesday's attack indicate they were exposed to sarin, a highly toxic nerve agent.

READ MORE: US warns of unilateral Syria moves if UN fails to act

The World Health Organization and Doctors Without Borders also reported that victims from the attack showed symptoms consistent with the use of a nerve agent such as sarin.

The Syrian government rejected the accusations, and Moscow warned against apportioning blame until an investigation has been carried out.

Trump has until now focused his Syria policy almost exclusively on defeating ISIL in northern Syria, where US special forces are working with Arab and Kurdish armed groups.

Only last week, the US Ambassador to the United Nations Nikki Haley said the US diplomatic policy on Syria was no longer focused on forcing Assad to leave power.

But Trump said on Wednesday the gas attack had caused him to reconsider his opinion of Assad, adding it crossed ""many, many lines"" - not just the ""red line"" of chemical weapons use that former president Barack Obama once set as an ultimatum for the Assad government.

An anonymous US official told Reuters news agency on Thursday that options being discussed by the Pentagon and White House could include grounding aircraft used by Assad's forces.

Others could include the use of cruise missiles, allowing the US to strike targets without putting piloted aircraft in the skies above Syria.

READ MORE: Syria's civil war explained from the beginning

Turkish President Recep Tayyip Erdogan said on Thursday he hoped Trump would take military action, Turkey's state-run Anadolu Agency reported.

Erdogan said Turkey would be prepared to do ""whatever falls on us"" to support possible military action.

Jessica Ashooh, the deputy director of the Middle East Strategy Task Force at the Atlantic Council, a foreign policy think-tank in Washington DC, said every president is tested early on and it appears that Syria has become the test for Trump and his administration.

""What he does in this situation is going to colour how the world views his presidency and it's going to influence what countries like Russia or North Korea believe they can or cannot get away with,"" she told Al Jazeera.

If confirmed, the chemical attack will be the deadliest since sarin gas killed hundreds of civilians in Ghouta near the capital, Damascus, in August 2013.

Western states said the Syrian government was responsible for the 2013 attack. Damascus blamed rebels."
2,https://www.aljazeera.com/news/2017/04/autopsy-shows-chemical-weapons-syria-attack-170406073556666.html,Autopsy 'shows chemical weapons used in Syria attack',"Autopsy results have revealed that chemical weapons were used in an attack which killed more than 80 people in Syria's Idlib province, according to Turkey's justice minister.

Thirty-two victims of Tuesday's attack were brought to Turkey where three subsequently died.

""Autopsies were carried out on three of the bodies after they were brought from Idlib. The results of the autopsy confirms that chemical weapons were used,"" Justice Minister Bekir Bozdag said, quoted by state-run Anadolu news agency.

""This scientific investigation also confirms that Assad used chemical weapons,"" Bozdag added, without giving further details.

Syria attack victims treated in Turkey

The attack on the town of Khan Sheikhoun drew widespread international condemnation and public revulsion, prompting the United Nations to pledge it would investigate it as a possible war crime.

The Syrian govenment denied carrying out the raid. Russia, a key military ally of the Bashar al-Assad government, has blamed the opposition, saying a government shell hit a building where rebels were producing chemical weapons. The rebels deny this.

On Thursday, Russian President Vladimir Putin told Israeli Prime Minister Benjamin Netanyahu by phone that it was ""unacceptable to make groundless accusations against anyone without conducting a detailed and unbiased investigation"", according to a statement issued by the Kremlin.

Syria's Foreign Minister Walid al-Moallem called the accusations in a press conference on Thursday an unjust campaign against Syria.

""The campaign (chemical attack) was launched at 6:00 in the morning while the first air raid carried out by Syrian jet fighters was at 11.30 in the morning. It was targeting a weapons and ammunitions depot belonging to al-Nusra Front which happened to contain chemical weapons,"" Moallem said.

The World Health Organization has also said some survivors had symptoms consistent with exposure to a category of chemicals that includes nerve agents.

The Syrian American Medical Society (SAMS), which runs several field hospitals in Idlib, said doctors on the ground said the attack caused people to vomit and foam at the mouth. Others lost consciousness and suffered muscle spasms.

The group said the symptoms, which also included constricted pupils and slow heart rates, were indicative of an organo-phosphorus compounds agent.

The apparent chemical attack is the deadliest such incident since sarin gas killed hundreds of civilians in Ghouta near the capital in August 2013.

Assault goes on

The government assault on Idlib province has continued, a monitoring group said on Thursday, with air raids killing at least 27 people - including 13 children - in the rebel-held town of Salqin on Wednesday.

Air raids also targeted Jisr al-Shughour, a northern town in Idlib province, killing at least two people and wounding six others, the UK-based Syrian Observatory for Human Rights said.

Elsewhere in Syria, the Observatory said government air raids killed at least 18 people, including nine children, in Saqba city in the Damascus suburbs on Wednesday.

In other parts of the suburbs, ten people were killed on Wednesday in air raids that targeted Douma, Hamouriah and Jesrin in Eastern Ghouta."
3,https://www.aljazeera.com/news/2017/04/syria-denies-chemical-weapons-idlib-170406103242116.html,Syria denies using chemical weapons in Idlib,"The Syrian government says its military ""did not and will not"" use chemical weapons, denying accusations it was behind an attack on a rebel-held town in Idlib province that sparked widespread international outrage.

At least 86 people were killed and hundreds - including people foaming at the mouth - were hospitalised after Tuesday's chemical incident on the town of Khan Sheikhoun, according to the Syrian Observatory for Human Rights, a UK-based monitoring group.

The deaths, blamed by many on the government of Syrian President Bashar al-Assad, prompted the United Nations to pledge it would investigate the incident as a possible war crime.

READ MORE: 'We found bodies all over the floor'

But Walid Muallem, Syria's foreign minister, on Thursday denied the charges, calling them an unjust campaign against Syria launched by countries known for their hostility.

""I stress to you once again: the Syrian army has not, did not, and will not use this kind of weapons - not just against our own people, but even against the terrorists that are targeting our civilians indiscriminately,"" he said at a press conference in Damascus.

Muallem said the Syrian army had bombed a warehouse belonging to rebels that contained chemical weapons, echoing earlier comments made by Russia, a key ally of the Assad government. The rebels deny this.

""The first air raid conducted by the Syrian army was at 1130am (0830:GMT) on that day [Tuesday] and it attacked an arms depot belonging to al-Nusra Front [al-Qaeda's former Syria affiliate] chemical weapons,"" he said.

Responding to calls for an international investigation, Muallem said the Syrian government needed guarantees that any fact-finding mission into Idlib's attack would be impartial and not ""politicised"".

The foreign minister said Syria's experience with past missions is ""not encouraging"", adding that Damascus would only consider the idea of an inquiry if its concerns were addressed.

""He said that he believes that results will be changed, even if they allow full access to any international investigators,"" Al Jazeera's Alan Fisher, reporting from Beirut, said.

READ MORE: How chlorine gas became a weapon in Syria's civil war

At least 32 people were transferred across the border into Turkey for treatment, and Ankara said autopsies performed on three people who died in Turkish hospitals confirmed chemical weapons had been used.

""Autopsies were carried out on three of the bodies after they were brought from Idlib. The results of the autopsy confirms that chemical weapons were used,"" Bekir Bozdag, Turkey's justice minister, said on Thursday, according to state-run Anadolu news agency.

""This scientific investigation also confirms that Assad used chemical weapons,"" Bozdag added, without giving further details.

The World Health Organization and Doctors Without Borders (MSF) said victims showed symptoms consistent with the possible use of a nerve agent, such as sarin.

If confirmed, the suspected chemical attack would the deadliest since sarin gas killed hundreds of civilians in Ghouta near the capital, Damascus, in August 2013.

Western states said the Syrian government was responsible for the 2013 attack. Damascus blamed rebels."
4,https://www.aljazeera.com/news/2017/04/warns-unilateral-syria-moves-fails-act-170405200400669.html,US warns of unilateral Syria moves if UN fails to act,"The United States has warned it could take unilateral action if the United Nations fails to respond to a suspected chemical attack on a rebel-held town in Syria that killed more than 80 people, including many children.

""When the United Nations consistently fails in its duty to act collectively, there are times in the life of states that we are compelled to take our own action,"" US Ambassador to the UN Nikki Haley said on Wednesday.

The warning came during an emergency meeting of the UN Security Council called by France and Britain after an early morning attack on Tuesday in Khan Sheikhoun in Idlib province.

Britain, France and the US presented a draft resolution demanding a full investigation of the attack, which they blamed on the Syrian government.

But talks ended without a vote after Russia, an ally of Syrian President Bashar al-Assad, said the text was ""categorically unacceptable"".

Syria has denied the allegations, while Russia had blamed the rebels, saying the deaths occurred when a government shell hit a rebel chemical weapons depot.

'Horrific acts'

Haley lashed out at Moscow for failing to rein in Damascus, standing in the council chamber to hold up photographs of victims - one showing a young child lying lifeless, a mask covering his face.

""How many more children have to die before Russia cares?"" she asked.

""If Russia has the influence in Syria that it claims to have, we need to see them use it,"" she said. ""We need to see them put an end to these horrific acts.""

The Britain-based Syrian Observatory for Human Rights monitoring group said at least 86 people, including 30 children, were killed in the raid on Khan Sheikhoun.

Dozens more were left gasping for air, convulsing, and foaming at the mouth, doctors said.

If confirmed, it will be be the worst chemical weapons attack in Syria since 2013, when sarin gas was used on a rebel-held area of Damascus.

""If we are not prepared to act, then this council will keep meeting, month after month to express outrage at the continuing use of chemical weapons and it will not end,"" Haley said.

""We will see more conflict in Syria. We will see more pictures that we can never unsee.""

READ MORE: 'Chemical attack' in Syria draws international outrage

The draft resolution backs a probe by the Organisation of the Prohibition of Chemical Weapons (OPCW) and demands that Syria cooperate to provide information on its military operations on the day of the assault.

Russia's Deputy Ambassador Vladimir Safronkov told the council the proposed measure was hastily prepared and unnecessary, but voiced support for an investigation.

""The main task now is to have an objective inquiry into what happened,"" he said.

Negotiations continued on the proposed resolutions throughout most of Wednesday. Diplomats said it could come up for a vote at the council as early as Thursday.

'Many, many lines' crossed

In a press conference at the White House later in the day, US President Donald Trump said the chemical attack had crossed ""many, many lines"" and had abruptly changed his thinking about Syrian President Bashar al-Assad.

Only days earlier multiple members of Trump's administration had said Assad's ouster was no longer a US priority, drawing outrage from Assad critics in the United States and abroad. But Trump said Tuesday's attack ""had a big impact on me - big impact"".

""My attitude towards Syria and Assad has changed very much,"" he said, but refused to telegraph any potential US military retaliation.

Since the attack, Trump has been under increasing pressure to explain whether it was egregious enough to force a US response.

Robert Ford, former US ambassador to Syria, expressed scepticism that Trump would resort to military action.

""As a presidential candidate he could not have been more clear that he wanted to avoid military involvement in the Syrian civil war,"" he told Al Jazeera. ""For him to order military strikes, even limited military strikes, in response to the chemical attack in Idlib, would be a gigantic change and not one that I'm at all sure that the administration is actually going to do.""

Ford said all fingers point to the Syrian government as the culprit of the attack.

""I find it laughable that governments such as Russia would suggest that rebels have a chemical weapons capacity but they always seem to use it on their own people and never on the Syrian army,"" he added.

Idlib hospitals overwhelmed after suspected gas attack

Trump's first reaction to the attack was to blame former president Barack Obama's ""weakness"" in earlier years for enabling Assad.

Obama had put Assad on notice that using chemical weapons would cross a ""red line"" necessitating a US response, but then failed to follow through, pulling back from planned air strikes on Assad's forces after Congress would not vote to approve them.

Trump and other critics have cited that as a key moment the US lost much global credibility.

""I now have responsibility,"" Trump said. ""That responsibility could be made a lot easier if it was handled years ago.""

Joshua Landis, director for the Centre of Middle East Studies at the University of Oklahoma, told Al Jazeera that the US would likely warn Moscow if it was to resort to using military might in Syria.

""They have to disambiguate and they have to make sure that they don’t hurt any Russian soldiers,"" he said.

""But there’s a wide palette of things they can do. They can bomb airports and destroy the runways so that Syrian planes can’t fly for some time, they could kill a bunch of Syrian soldiers, they could destroy command centres…we'll have to wait and see.""

But Landis said it was unlikely that Trump would push for all out regime change in Syria.

""[Trump's] entire policy for the Middle East has been based on reversing the notion of regime change. He supports strong men,"" he said.

""Now that he's got a strong man in Assad who is violating human rights and this norm of not using chemical weapons, he has to calibrate his policy and try to insist on human rights even as he supports dictators."""
5,https://www.aljazeera.com/news/2017/04/security-council-meets-syria-gas-attack-170405142736085.html,UN Security Council meets on Syria 'gas attack',"The UN Security Council has met to discuss a suspected chemical weapons attack in Syria that killed at least 72 of people, including 20 children.

Britain, France, and the United States presented a draft resolution demanding a full investigation of the attack on a rebel-held town in Idlib province, but Russia defended its ally in Damascus and said the text was ""categorically unacceptable"".

The draft resolution calls for a full investigation by the Organisation of the Prohibition of Chemical Weapons (OPCW) of the attack in the early hours of Tuesday in the town of Khan Sheikhoun.

If confirmed, the attack would be among the worst incidents of chemical weapons use in Syria's brutal civil war, which has killed nearly half a million people and displaced half the pre-war population.

Images and video published shortly after the incident showed dozens of men, women and children gasping for air , convulsing, and foaming at the mouth.

""Experts who've dealt with the gas say all the symptoms seem to indicate that Sarin was involved,"" Al Jazeera's Alan Fisher, reporting from Beirut.

The World Health Organization said there was reason to suspect a chemical attack, with some victims displaying symptoms suggesting exposure to ""a category of chemicals that includes nerve agents"".

Medical charity Medicins Sans Frontieres (MSF) said people it treated had symptoms consistent with nerve agents such as Sarin.

""MSF saw eight patients with symptoms - dilated pupils, muscle spasms, involuntary defecation - consistent with exposure to neuro-toxic agents such as Sarin,"" the group said in a statement.

The Syrian Observatory for Human Rights, a Britain-based monitor, said at least 160 people suffered the effects of the gas.

The proposed measure requests the joint UN-OPCW investigative panel begin work immediately to identify the perpetrators of the attack.

The text also calls on Syria to provide flight plans, flight logs, and other information on its military operations on the day of the assault.

Damascus would be asked to provide the names of all commanders of helicopter squadrons to UN investigators and allow them to meet with generals and other high-ranking officials within five days of their request, the draft resolution said.

Syria would also allow UN and OPCW teams to visit air bases from which the attacks involving chemical weapons may have been launched.

READ MORE: 'Chemical attack' in Syria draws international outrage

Ahead of the emergency session on Wednesday, a spokeswoman for Russia's foreign ministry said the draft resolution was ""anti-Syrian"", adding it ""pre-empts the results of an investigation and just immediately designates the guilty"".

Moscow, which launched a military intervention in 2015 in support of Assad's forces, earlier defended Damascus against accusations of responsibility for the attack.

It said the deaths were caused when a Syrian air strike hit a ""terrorist warehouse"" used for making bombs containing ""toxic substances"", and pledged to continue its military support for Assad.

Syria's army has denied any use of chemical weapons, saying it ""has never used them, any time, anywhere, and will not do so in the future"".

Syria's permanent representative to the UN Munzer Munzer rejected what he called a ""falsification of the facts"" in Khan Sheikhoun, adding that ""terrorist groups"" had gained access to ""toxic chemicals"" with Turkish government assistance.

But Syria's denials did little to quiet international condemnation, with UN chief Antonio Guterres on Wednesday saying the ""horrific events"" showed that ""war crimes are going on in Syria"".

US Ambassador to the UN Nikki Haley said: ""How many more children have to die before Russia cares?""

Haley hinted that in light of a UN failure to prevent such attacks, certain states may be ""compelled to act"" on their own.

READ MORE: How chlorine gas became a weapon in Syria's civil war

In a statement to the Security Council meeting, France’s Ambassador to the UN Francois Delattre refuted arguments made by Russia and the Syrian government.

""There was no fire, even though such a strike [on an alleged chemical warehouse] would have caused a fire, and the consequences would have been much more serious for the civilian population,"" he said.

UK Ambassador the UN Matthew Rycroft said the attack ""bears all the hallmarks fo the Assad regime"".

""There's only one air force that has used such weapons in Syria,"" he said.

The Security Council meeting was adjourned without a vote scheduled as ambassadors continued negotiations privately."
6,https://www.aljazeera.com/video/news/2017/04/russia-blames-syrian-rebels-chemical-gas-attack-170405161708429.html,Russia blames Syrian rebels for chemical gas attack,"Some of those caught up in a suspected gas attack in Syria have been talking about the moments it happened, after they were transported across the border to Turkey for treatment.

The attack in rural Idlib province's Khan Sheikhun killed at least 72 people, including 20 children.

Several countries have blamed Syrian government forces, but the Russian Defence Ministry says Syrian planes hit a rebel chemical weapons factory, which produced the gas cloud.

Al Jazeera’s Alan Fisher reports from neighbouring Beirut."
7,https://www.aljazeera.com/news/2017/04/idlib-hospitals-overwhelmed-suspected-gas-attack-170405062828940.html,Idlib hospitals overwhelmed after suspected gas attack,"WARNING: The above report contains images some may find distressing.

Hospitals across Syria's rebel-held Idlib province are overwhelmed with casualties from a suspected chemical attack that has killed scores of people and wounded hundreds more, a local health official has told Al Jazeera.

The attack in the early hours of Tuesday morning in Khan Sheikhoun drew widespread international condemnation, with the UN saying it would investigate the bombing raid as a possible war crime.

Air raids targeted Khan Sheikhoun again on Wednesday morning, Hamid, a local official of the Syrian Civil Defence, a rescue group that operates in rebel-held areas, told Al Jazeera.

Munzir Khalil, head of Idlib's health directorate, said on Wednesday that medical workers were struggling to cope as the number of victims was expected to increase.

""We can confirm the names of 74 people killed,"" he said, ""but the hospitals expect the number to rise to 107 because many have gone missing and we suspect they have been killed in the attack.""

Khalil said at least 557 people were wounded in the attack and transferred to medical centres and field hospitals across Idlib, in Syria's northwest.

""I can say almost all of Idlib's medical facilities include victims of yesterday's attack. Not to forget, air strikes destroyed a central hospital in Maaret al-Numan on Monday, a facility that once took care of up to 30,000 patients a month.

""That hospital is now out of service and we are in a state of shock.""

Khalil said al-Rahma hospital in Khan Sheikhoun was also targeted by an air raid shortly after the suspected chemical attack.

The United Nations Security Council is expected to hold an emergency meeting later on Wednesday.

The UK-based Syrian Observatory for Human Rights (SOHR), the monitoring organisation, on Wednesday put the death toll at 99 people, including 37 children.

READ MORE: How chlorine gas became a weapon in Syria's civil war

The Syrian American Medical Society (SAMS), which runs several field hospitals in Idlib, had earlier said that at least 72 people, including 11 children, were killed in the attack.

SAMS doctors on the ground said the attack caused people to vomit and foam at the mouth. Others lost consciousness and suffered muscle spasms.

The group said the symptoms, which also included constricted pupils and slow heart rates, were indicative of an organo-phosphorus compounds agent - a category of toxic gases which includes sarin.

The World Health Organization also said some survivors had symptoms consistent with exposure to a category of chemicals that includes nerve agents.

""The images and reports coming from Idlib today leave me shocked, saddened and outraged. These types of weapons are banned by international law because they represent an intolerable barbarism,"" Peter Salama, executive director of the UN agency's Health Emergencies Program, has said.

The Syrian National Coalition, an opposition group, said a gas similar to sarin was used in the attack, which it said was carried out by government fighter jets.

Syria's military rejected the accusation, saying in a statement on Tuesday that the army ""denies using any toxic or chemical agents in Khan Sheikhoun today, and it did not and never will use it anywhere"".

Russia, an ally of Syrian President Bashar al-Assad, said on Wednesday that Syrian aircraft did carry out a raid, but the chemicals were part of a ""terrorist"" stockpile of ""toxic substances"" that had been struck on the ground.

The Hague-based Organisation for the Prohibition of Chemical Weapons on Tuesday said that it was in the process of gathering and analysing information from all available sources.

If it is confirmed, it would be the deadliest chemical attack in Syria since sarin gas killed hundreds of civilians in Ghouta, just outside the capital Damascus, in August 2013."
8,https://www.aljazeera.com/news/2017/04/chemical-attack-syria-170404195457304.html,'Chemical attack' in Syria draws international outrage,"WARNING: The above report contains images some may find distressing.

A suspected chemical attack on a rebel-held town in Syria's Idlib province has drawn widespread international condemnation, with the United Nations saying it will investigate the bombing raid as a possible war crime.

At least 72 people, including 11 children, were killed in Khan Sheikhoun on Tuesday, according to the Syrian American Medical Society (SAMS), which runs several field hospitals in the area. More than 550 people were injured.

SAMS doctors on the ground said the attack caused people to vomit and foam from the mouth. Others lost consciousness and suffered muscle spasms.

The group said the symptoms, which also included constricted pupils and slow heart rate, were indicative of an organo-phosphorus compounds agent - a category of toxic gases which includes sarin.

""We were affected by the gas. We couldn't stand up,"" Veda Ajej, one of the survivors treated in a hospital in the Turkish town of Reyhanli, near the Syria border, told the Reuters news agency.

""I felt dizzy and nauseous,"" she said, lying in a hospital bed. ""I couldn't breathe.""

Local health workers said the death toll could rise and eventually reach 100. A member of the White Helmets, a rescue group that operates in rebel-held areas, told Al Jazeera that up to 300 people had been injured.

The Syrian National Coalition, an opposition group, said a gas similar to sarin was used in the attack, which it blamed on government planes.

Syria's military rejected the accusation, saying in a statement that the army ""denies using any toxic or chemical agents in Khan Sheikhoun today, and it did not and never will use it anywhere"".

Russia, an ally of Syria's President Bashar al-Assad, on Wednesday said Syrian aircraft had carried out a raid, but the chemicals were part of a ""terrorist"" stockpile of ""toxic substances"" that had been hit on the ground.

READ MORE: How chlorine gas became a weapon in Syria's civil war

UN Secretary-General Antonio Guterres was ""deeply disturbed"" by the attack, his spokesman said, adding that the world body was ""currently not in a position to independently verify"" the reports of use of chemical weapons.

An emergency Security Council meeting was scheduled for Wednesday. The United States, Britain and France proposed a Security Council resolution that diplomats said would be likely to be put to a vote.

The draft text, seen by Reuters, says Syria's government must provide an international investigation with flight plans and logs for Tuesday, the names of all helicopter squadron commanders and provide access to air bases where investigators believe attacks using chemicals may have been launched.

If confirmed, it would be the deadliest chemical attack in Syria since sarin gas killed hundreds of civilians in Ghouta, near the capital, Damascus, in August 2013. Western states said the Syrian government was responsible for the 2013 attack. Damascus blamed rebels.

Khan Sheikhoun residents said the attack began in the early hours of Tuesday morning, when they heard planes in the sky followed by a series of loud explosions, after which people very quickly began to show symptoms. They said they could not identify the planes. Both Syrian and Russian jets have bombed the area before.

""My family and I were sleeping during the attack,"" Ahmed, another survivor treated in Reyhanli, told Reuters. ""The bombing was carried out and there was a big explosion. I felt dizzy and nauseous. I had trouble breathing - I don't remember the rest.""

This is the aftermath of a suspected chemical gas attack in Syria's Idlib.



(Via @AJPlus ) pic.twitter.com/DM2t7jwhE8 — Al Jazeera English (@AJEnglish) April 4, 2017

Charles Duelfer, a chemical weapons expert in Washington DC, said it was ""unlikely"" that the attack was not the work of the Syrian regime.

""What changed is the nature of the agent,"" he told Al Jazeera. ""There were previous cases where the OPCW [Organisation for the Prohibition of Chemical Weapons] and the UN have identified that the regime used a chemical but it's only been chlorine. This agent appears to be a military agent which is far more effective.""

Duelfer also said it was ""puzzling"" why government forces appeared to have resorted to using chemical weapons at a time when they are doing well militarily on the ground.

""They [chemical weapons] are not really serving a substantial military purpose. They can certainly spread terror, and they certainly seem to have a political effect, although it's hard for me to calculate how that would be a positive thing for Bashar al-Assad right now - unless he wants to demonstrate that he's there, no matter what anyone else says or wants to do about it.""

Turkish Prime Minister Binali Yildirim said Turkey hopes the UN will punish the attack's perpetrators in the name of humanity.

""The inhumane savagery in Idlib, Syria this morning, unfortunately, shocked all of us deeply,"" he said.

Britain and France also called for renewed efforts at the Security Council for those behind the use of toxic gas in the war to be held accountable.



Such attempts have been repeatedly blocked by Russia, Syria's main ally and a veto-wielding council member.

""This is clearly a war crime,"" British Ambassador Matthew Rycroft told reporters.

""I call on the Security Council members who have previously used their vetoes to defend the indefensible to change their course.""

READ MORE: Syria's civil war explained

The US said Assad must be held accountable for chemical weapons attacks and demanded that Russia and Iran bring their ally to heel.

""While we continue to monitor the terrible situation, it is clear that this is how Bashar al-Assad operates: with brutal, unabashed barbarism,"" Secretary of State Rex Tillerson said.

White House spokesman Sean Spicer told reporters that President Donald Trump was ""extremely alarmed"" by reports of the attack, which he called ""reprehensible"".

French President Francois Hollande accused the Syrian government of a ""massacre"".

""Once again the Syrian regime will deny the evidence of its responsibility for this massacre,"" he said in a statement.

On three previous occasions, UN investigations have found the Syrian army guilty of using chemical weapons.

In a statement, the UN Commission of Inquiry on Syria said the use of chemical weapons, as well as any deliberate targeting of medical facilities, ""would amount to war crimes and serious violations of human rights law"".

""It is imperative for perpetrators of such attacks to be identified and held accountable,"" said the independent panel led by Brazilian expert Paulo Pinheiro.

The European Union's top diplomat, Federica Mogherini, said: ""Obviously there is a primary responsibility from the regime because it has the primary responsibility of protecting its people."""
9,https://www.aljazeera.com/video/news/2017/04/syria-rescue-teams-blame-russia-hospital-bombing-170404084122390.html,Syria: Rescue teams blame Russia for hospital bombing,"Syria: Rescue teams blame Russia for hospital bombing

Three Russian air strikes bombarded the national hospital in Maarat al-Numan city intentionally, according to Syrian Civil Defence teams. The hospital was left completely out of service because its main departments were damaged."
